year,region,employment_rate,total_crime_rate
2018,ncr,93.4,1.5792401480513827
2018,car,95.9,0.5653543307086614
2018,1,93.2,0.887215909090909
2018,2,97.0,0.482147315855181
2018,3,94.2,0.5451007732285461
2018,4a,93.4,0.46605586370839935
2018,4b,95.3,0.3246536072623029
2018,5,95.1,0.6184050571359105
2018,6,94.7,0.5110826158637114
2018,7,94.7,1.2165627950897073
2018,8,95.8,0.32595879556259905
2018,9,95.9,0.5248758119984716
2018,10,95.9,0.4089619794809897
2018,11,95.7,0.3869614835948645
2018,12,96.1,0.5676825396825397
2018,13,95.9,0.4959151193633953
2018,barmm,96.2,0.09870292887029289
2020,ncr,88.3,0.4162708794526061
2020,car,89.6,0.18107667210440456
2020,1,86.6,0.2896755994358251
2020,2,91.3,0.522891072891073
2020,3,86.9,0.30256529850746267
2020,4a,88.4,0.2993421645489772
2020,4b,92.7,0.23440702781844802
2020,5,90.5,0.29645569620253165
2020,6,92.2,0.2286688790560472
2020,7,89.7,0.5929136756856249
2020,8,92.0,0.22114340466304694
2020,9,90.1,0.2565909996017523
2020,10,93.6,0.28113879003558717
2020,11,90.8,0.469168071950534
2020,12,90.9,0.23854296388542962
2020,13,92.4,0.4268292682926829
2020,barmm,91.0,0.0949290060851927
2021,ncr,89.4,0.3763925991886812
2021,car,94.2,0.15395683453237408
2021,1,91.8,0.16675034867503485
2021,2,94.0,0.38858520900321547
2021,3,92.5,0.25752162039144283
2021,4a,89.4,0.2997805284874024
2021,4b,92.1,0.1689423076923077
2021,5,91.8,0.214175769612711
2021,6,93.4,0.18832727272727273
2021,7,92.8,0.4404117009750813
2021,8,93.4,0.18967136150234742
2021,9,96.0,0.19117532213978916
2021,10,95.1,0.23076477404403245
2021,11,95.2,0.9260082304526749
2021,12,94.7,0.1965130382049727
2021,13,94.3,0.29667755991285405
2021,barmm,90.8,0.0980445834962847
2022,ncr,92.8,0.3866357890475672
2022,car,96.3,0.17125112805462983
2022,1,93.9,0.15628281342006256
2022,2,96.0,0.1879319612352064
2022,3,94.8,0.20258109243137307
2022,4a,93.7,0.28138718835981086
2022,4b,95.5,0.17017336973533526
2022,5,94.3,0.2064454573795435
2022,6,94.8,0.2018738747169078
2022,7,95.0,0.41583242671504644
2022,8,95.1,0.1799479999580943
2022,9,95.9,0.17906515109851437
2022,10,95.7,0.23476393166638915
2022,11,96.0,0.6875548477089454
2022,12,96.3,0.17476798095372276
2022,13,95.6,0.26559139264444154
2022,barmm,94.2,0.08736801013072829
2023,ncr,94.1,0.37122153317438783
2023,car,97.2,0.154142070081907
2023,1,95.0,0.13196691106814115
2023,2,97.6,0.16802112536605163
2023,3,95.8,0.1756534477785909
2023,4a,94.6,0.26736229807284373
2023,4b,96.4,0.180181022116099
2023,5,95.2,0.2072668986763039
2023,6,95.9,0.21027554583120794
2023,7,96.4,0.44611472097872595
2023,8,96.2,0.17262005975660116
2023,9,96.9,0.19663112474991076
2023,10,94.7,0.23119957375551833
2023,11,96.9,0.5542569942742857
2023,12,96.8,0.15720907954608832
2023,13,97.0,0.2747680052405521
2023,barmm,96.4,0.08607626863152198
